PearsonCorrelation,BVOL,GVol,WVol,ThicknessSum
0.78657,1.46282e+06,467086,446672,1.16873e+06
0.779178,1.19454e+06,394343,362116,1.04038e+06
0.740803,1.33156e+06,382819,389971,805992
0.790108,1.55909e+06,509539,483045,1.30119e+06
0.831134,1.53677e+06,540130,441921,1.67728e+06
0.802259,1.32124e+06,481980,378069,1.39013e+06
0.790583,1.4189e+06,474001,449737,1.26759e+06
0.753401,1.34182e+06,425229,387937,1.06687e+06
0.830231,1.37539e+06,465677,396523,1.14565e+06
0.789191,1.5244e+06,480087,460604,1.10694e+06
0.792279,1.59197e+06,507010,466028,1.16209e+06
0.782918,1.38756e+06,433565,397542,1.05879e+06
0.804675,1.39987e+06,495853,386122,1.47235e+06
0.807238,1.21935e+06,367824,377031,884710
0.790646,1.39413e+06,439944,415254,1.12242e+06
0.814039,1.37962e+06,457635,383891,1.27983e+06
0.764439,1.20536e+06,388733,378705,1.0255e+06
0.773799,1.39889e+06,439903,442425,1.11603e+06
0.752298,1.56195e+06,524008,485597,1.48396e+06
0.749113,1.36205e+06,441696,415161,1.17605e+06
0.834215,1.33601e+06,465110,364429,1.31246e+06
0.749344,1.38854e+06,458277,432269,1.28753e+06
0.796758,1.33918e+06,442295,416811,1.1433e+06
0.833417,1.48246e+06,492669,411009,1.28692e+06
0.75851,1.54966e+06,499379,493894,1.30649e+06
0.77336,1.61554e+06,570492,497683,1.76323e+06
0.746129,1.55158e+06,511731,466810,1.39041e+06
0.829838,1.40524e+06,493844,388522,1.49178e+06
0.748025,1.58408e+06,530285,487712,1.48673e+06
0.823188,1.48581e+06,502183,414221,1.40293e+06
0.761713,1.525e+06,508202,463998,1.42946e+06
0.834247,1.68218e+06,588456,480129,1.7832e+06
0.80303,1.40298e+06,525960,439257,1.6773e+06
0.831032,1.2855e+06,441603,354737,1.26514e+06
0.721921,1.36277e+06,520000,404288,1.70186e+06
0.828328,1.35878e+06,491546,367350,1.57877e+06
0.771054,1.41975e+06,418058,435615,949154
0.76216,1.49927e+06,483530,461792,1.23691e+06
0.847669,1.39365e+06,474257,386967,1.39186e+06
0.830273,1.60332e+06,584494,464343,1.79172e+06
0.761746,1.53478e+06,524439,468710,1.50379e+06
0.845935,1.41755e+06,504344,394779,1.54448e+06
0.748589,1.45033e+06,451324,456502,1.1826e+06
0.79375,1.35112e+06,479905,395596,1.29698e+06
0.787243,1.32911e+06,444041,416296,1.25678e+06
0.815491,1.37699e+06,470843,377614,1.25687e+06
0.749674,1.4707e+06,517705,419583,1.52803e+06
0.800156,1.31126e+06,427549,397724,1.16603e+06
0.754773,1.91692e+06,626190,606699,1.73691e+06
0.840424,1.37311e+06,460673,392759,1.32835e+06
0.844702,1.38906e+06,475867,384994,1.4137e+06
0.783826,1.42387e+06,461378,438462,1.20238e+06
0.832635,1.44319e+06,527885,421295,1.7059e+06
0.771253,1.44775e+06,451361,448066,1.12376e+06
0.805879,1.43477e+06,509620,408518,1.55678e+06
0.75808,1.59619e+06,506441,505291,1.23046e+06
0.748829,1.40987e+06,463752,420749,1.25386e+06
0.764862,1.54706e+06,491630,488096,1.19001e+06
0.835866,1.31855e+06,464748,382778,1.38511e+06
0.75313,1.14015e+06,430173,332437,1.31947e+06
0.82112,1.42025e+06,473044,423542,1.25102e+06
0.759043,1.32182e+06,438476,385086,1.12345e+06
0.764514,1.51272e+06,500181,454627,1.36143e+06
0.793913,1.17445e+06,420084,314081,1.28275e+06
0.766453,1.46593e+06,525961,439077,1.52158e+06
