PearsonCorrelation,BVOL,GVol,WVol,ThicknessSum
0.788692,1.46135e+06,465668,441951,1.17223e+06
0.798729,1.19404e+06,400139,349419,1.10512e+06
0.71966,1.33172e+06,367261,405980,776907
0.789678,1.55684e+06,506039,485803,1.28181e+06
0.82851,1.5361e+06,537063,443898,1.64777e+06
0.811517,1.31943e+06,477495,377054,1.39615e+06
0.799104,1.41755e+06,474001,445419,1.2915e+06
0.752326,1.34206e+06,414030,396646,1.03349e+06
0.823338,1.37488e+06,446739,414884,1.08403e+06
0.798823,1.5237e+06,481086,455470,1.11079e+06
0.817307,1.58992e+06,509697,454615,1.24453e+06
0.772905,1.38744e+06,421918,410195,1.00699e+06
0.791085,1.3967e+06,488972,394963,1.41067e+06
0.795834,1.21351e+06,357881,385663,811169
0.801792,1.39123e+06,439263,411743,1.1341e+06
0.821469,1.37894e+06,456733,380695,1.30087e+06
0.766857,1.20375e+06,385423,380215,997583
0.77063,1.39626e+06,439879,442117,1.1184e+06
0.758715,1.56169e+06,523917,483848,1.47083e+06
0.767354,1.36235e+06,443986,406684,1.20112e+06
0.83477,1.33255e+06,464332,363538,1.31076e+06
0.764408,1.38772e+06,468169,438637,1.34371e+06
0.811045,1.33522e+06,444437,409081,1.18375e+06
0.81765,1.483e+06,477887,420463,1.19506e+06
0.768495,1.54789e+06,494587,492326,1.28004e+06
0.791898,1.61418e+06,546959,485476,1.60634e+06
0.747886,1.55174e+06,507747,469202,1.35451e+06
0.826967,1.40455e+06,491021,390407,1.46529e+06
0.753472,1.58247e+06,525356,489407,1.42094e+06
0.827578,1.48601e+06,508715,421109,1.45712e+06
0.765775,1.52306e+06,501878,467574,1.39059e+06
0.830847,1.67996e+06,582056,481381,1.72935e+06
0.804179,1.39062e+06,521496,438512,1.65422e+06
0.827106,1.28352e+06,438719,356884,1.23496e+06
0.728388,1.36186e+06,513364,407955,1.64176e+06
0.826162,1.35758e+06,485243,371421,1.54455e+06
0.74433,1.41761e+06,409801,440258,905118
0.758033,1.49754e+06,477907,463004,1.19046e+06
0.843722,1.39253e+06,470609,389669,1.34302e+06
0.832272,1.60214e+06,583003,464329,1.76719e+06
0.752128,1.5337e+06,504609,471126,1.39467e+06
0.845073,1.41632e+06,503862,394037,1.53889e+06
0.753094,1.45026e+06,444401,458371,1.12693e+06
0.82423,1.34953e+06,483620,378243,1.3753e+06
0.777222,1.32711e+06,427723,419649,1.13838e+06
0.818052,1.37496e+06,477529,387338,1.29648e+06
0.752105,1.47076e+06,513233,421146,1.49354e+06
0.798048,1.30892e+06,425972,396263,1.16741e+06
0.777547,1.91377e+06,621987,600974,1.70844e+06
0.83915,1.37041e+06,454765,396099,1.28457e+06
0.845435,1.38812e+06,471056,387327,1.38759e+06
0.798072,1.42151e+06,458377,417317,1.21834e+06
0.84202,1.44044e+06,526855,415824,1.77332e+06
0.775922,1.44592e+06,447292,446724,1.11496e+06
0.816556,1.43266e+06,510956,403749,1.58499e+06
0.7652,1.59589e+06,497987,507648,1.16821e+06
0.763723,1.41014e+06,456626,420948,1.21638e+06
0.769732,1.54474e+06,490292,486240,1.18214e+06
0.831672,1.31713e+06,455783,390750,1.30582e+06
0.735618,1.13996e+06,429111,337755,1.32183e+06
0.824453,1.32597e+06,446594,409743,1.14178e+06
0.756595,1.31955e+06,436502,387197,1.12205e+06
0.753778,1.51287e+06,497990,461224,1.35017e+06
0.789531,1.17417e+06,417502,318900,1.24996e+06
0.778816,1.46522e+06,519257,437140,1.46235e+06
