rh.aparc.thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
p100,2.192,2.598,1.735,3.248,2.603,2.5,2.767,2.148,2.243,2.384,1.905,2.428,2.574,2.548,2.308,2.509,2.361,2.3,1.569,2.109,2.417,2.427,2.467,2.511,2.328,2.609,2.305,2.737,2.495,2.28,2.814,2.41405,1154012.0,1575824.982281
p110,2.085,2.663,1.799,3.544,2.639,2.519,2.836,2.573,2.003,2.612,1.916,2.417,2.747,2.581,2.434,2.655,2.909,2.601,1.467,2.216,2.352,2.607,2.45,2.682,2.548,2.837,2.37,2.905,2.646,2.748,3.005,2.52591,1195118.0,1701251.740244
p114,2.381,2.337,1.842,3.456,2.641,2.473,2.705,2.337,2.158,2.282,1.962,2.374,2.809,2.932,2.394,2.392,2.203,2.322,1.348,1.82,2.502,2.19,2.482,2.563,2.261,2.465,2.111,2.778,2.339,1.883,2.985,2.35965,1042580.0,1461146.734354
p122,2.51,2.802,1.941,2.998,2.698,2.515,3.021,2.338,2.026,2.628,1.953,2.507,2.926,2.88,2.503,2.813,2.703,2.609,1.516,2.247,2.355,2.65,2.309,2.763,2.496,2.744,2.206,2.845,2.742,2.647,3.072,2.52218,1089212.0,1493054.046159
p135,2.552,2.744,1.984,3.331,2.642,2.566,2.911,2.33,2.129,2.613,2.033,2.666,2.789,2.614,2.534,2.586,2.445,2.465,1.572,2.153,2.372,2.623,2.494,2.692,2.52,2.766,2.372,2.822,2.569,2.542,3.081,2.53182,1049608.0,1427514.993408
p142,2.325,2.555,1.862,3.057,2.471,2.476,2.694,2.153,2.174,2.352,1.81,2.251,2.698,2.485,2.254,2.491,2.592,2.406,1.351,2.189,2.223,2.396,2.434,2.522,2.348,2.661,2.245,2.782,2.627,2.156,2.927,2.40734,1215806.0,1678590.145586
p156,2.116,2.686,1.572,2.838,2.479,2.358,2.791,1.972,2.108,2.493,1.79,2.441,2.772,2.29,2.311,2.654,2.761,2.584,1.349,2.199,2.052,2.578,2.276,2.538,2.45,2.783,2.247,2.708,2.535,2.312,3.104,2.42562,1031061.0,1371485.081792
p161,2.258,2.424,1.61,2.775,2.467,2.207,2.521,2.16,2.019,2.292,1.769,2.082,2.492,2.785,2.258,2.134,2.366,2.25,1.892,1.891,2.488,2.446,2.113,2.365,2.058,2.476,1.935,2.645,2.115,1.965,2.64,2.24536,910241.0,1287416.217485
p173,2.453,2.544,2.026,3.051,2.666,2.518,2.869,2.294,2.049,2.563,2.031,2.465,2.863,2.718,2.517,2.596,2.555,2.507,1.469,2.111,2.341,2.427,2.377,2.656,2.469,2.811,2.317,2.868,2.664,2.72,3.156,2.48734,1009411.0,1402076.546245
p176,2.506,2.61,1.775,3.582,2.812,2.469,2.836,2.062,1.852,2.576,1.817,2.57,2.81,2.485,2.249,2.61,2.729,2.303,1.234,1.96,2.478,2.378,2.422,2.552,2.406,2.695,2.163,2.728,2.472,2.157,2.835,2.43161,1211966.0,1655490.288997
p184,2.311,2.466,1.765,2.909,2.506,2.371,2.543,2.168,1.959,2.475,1.811,2.392,2.658,2.27,2.266,2.532,2.515,2.315,1.35,1.885,2.368,2.266,2.166,2.475,2.324,2.516,2.114,2.629,2.361,1.942,3.097,2.30369,1205032.0,1662182.405314
p194,2.238,2.433,1.712,3.194,2.595,2.219,2.786,2.107,1.96,2.22,1.644,2.284,2.729,2.425,2.026,2.601,2.378,2.339,1.485,1.957,2.275,2.221,2.146,2.421,2.325,2.493,2.094,2.728,2.45,2.121,2.871,2.30261,1245267.0,1680076.856796
p203,2.306,2.123,1.751,2.805,2.41,2.253,2.595,2.222,2.009,2.315,1.752,2.211,2.597,2.254,2.144,2.282,2.618,2.222,1.28,1.76,2.411,2.113,2.192,2.482,2.062,2.285,1.918,2.542,2.233,1.994,2.819,2.20229,1103340.0,1446152.607883
p218,2.686,3.008,1.956,3.11,2.651,2.735,3.033,2.195,2.169,2.845,2.089,2.623,2.912,2.646,2.531,2.834,2.754,2.868,1.681,2.214,2.584,2.816,2.64,2.628,2.781,3.057,2.421,2.876,2.767,2.373,3.068,2.65541,947077.0,1243668.326787
p302,2.262,2.581,1.796,2.953,2.654,2.432,2.866,2.335,2.01,2.493,2.003,2.599,2.747,1.977,2.329,2.624,2.922,2.602,1.393,2.182,2.417,2.365,2.32,2.666,2.604,2.821,2.109,2.844,2.466,2.275,3.139,2.46682,1472248.0,2134878.834409
p307,2.999,2.744,1.702,3.051,2.616,2.695,2.876,2.607,2.117,2.634,1.825,2.533,2.889,2.66,2.534,2.752,2.623,2.537,1.409,2.16,2.489,2.346,2.48,2.935,2.503,2.812,2.319,2.671,2.577,2.551,3.187,2.5177,905821.0,1193871.371458
p314,2.355,2.659,2.004,3.067,2.549,2.681,2.806,2.275,2.104,2.57,1.787,2.524,2.877,2.755,2.625,2.579,2.587,2.629,1.22,2.1,2.471,2.556,2.524,2.708,2.403,2.764,2.31,2.985,2.648,2.305,2.958,2.4878,1083233.0,1416614.979497
p322,1.627,1.661,1.378,2.001,1.468,1.912,1.77,1.601,1.443,1.738,1.297,1.708,1.639,2.069,1.681,1.829,2.161,2.073,1.119,1.621,1.73,1.538,1.685,2.047,1.631,1.866,1.841,1.772,1.97,1.946,1.842,1.70842,1012007.0,1419357.385125
p403,2.609,2.945,1.898,3.569,2.757,2.734,2.982,2.514,2.148,2.501,1.99,2.545,3.001,2.396,2.578,2.826,2.713,2.489,1.286,2.065,2.531,2.694,2.41,2.884,2.599,2.896,2.336,2.995,2.801,2.643,3.24,2.59665,1100094.0,1453505.376407
p75,2.271,2.408,1.824,3.155,2.804,2.523,2.709,2.238,2.144,2.36,1.779,2.314,2.766,2.848,2.494,2.473,2.672,2.517,1.262,1.989,2.213,2.348,2.419,2.573,2.287,2.642,2.069,3.111,2.602,2.288,3.016,2.42426,1042483.0,1306313.548108
p83,2.354,2.434,1.981,2.935,2.672,2.597,2.736,2.275,2.183,2.49,2.101,2.352,2.856,2.624,2.626,2.331,2.782,2.537,1.75,2.182,2.572,2.67,2.553,2.578,2.395,2.828,2.385,3.02,2.662,2.553,3.266,2.53618,1047142.0,1426534.793844
p97,2.45,2.361,1.884,3.323,2.644,2.52,2.73,2.417,2.143,2.404,2.026,2.248,3.016,2.823,2.219,2.736,2.604,2.689,1.484,1.909,2.542,2.328,2.265,2.455,2.308,2.418,1.999,2.937,2.377,2.542,3.132,2.41282,1107047.0,1507476.971807
p103,2.319,2.316,1.858,3.303,2.543,2.426,2.633,2.187,2.148,2.361,1.993,2.244,2.875,2.763,2.339,2.468,2.675,2.265,1.58,1.954,2.311,2.338,2.364,2.38,2.325,2.454,2.225,2.907,2.498,2.846,3.111,2.38768,989331.0,1314617.856764
p111,2.344,2.618,1.915,3.587,2.713,2.43,2.793,2.402,2.159,2.474,1.807,2.351,2.847,2.168,2.292,2.763,2.535,2.484,1.494,2.087,2.522,2.487,2.418,2.671,2.375,2.519,2.062,2.857,2.56,3.023,2.928,2.43154,1058252.0,1411066.430496
p119,2.447,2.492,1.85,3.141,2.694,2.38,2.859,2.242,1.932,2.523,1.717,2.369,2.821,3.134,2.141,2.685,2.912,2.471,1.411,2.019,2.43,2.428,2.393,2.796,2.31,2.754,2.283,2.861,2.586,2.55,3.051,2.41905,1086721.0,1517208.717353
p125,2.211,2.405,1.751,3.461,2.709,2.461,2.799,2.204,2.005,2.498,1.925,2.344,2.816,2.792,2.259,2.613,2.663,2.442,1.317,2.1,2.299,2.506,2.379,2.631,2.276,2.584,2.181,2.988,2.519,2.658,3.019,2.41786,1034918.0,1431585.732168
p138,2.465,2.389,1.762,3.02,2.353,2.257,2.554,2.344,2.023,2.355,1.726,2.255,2.573,2.678,2.169,2.489,2.303,2.355,1.194,1.833,2.486,2.201,2.277,2.569,2.264,2.57,1.925,2.92,2.467,2.02,3.087,2.28716,1133461.0,1499427.373011
p150,2.411,2.45,1.948,3.004,2.553,2.445,2.795,1.928,2.049,2.482,1.823,2.518,2.808,2.566,2.242,2.665,2.656,2.456,1.67,2.217,2.153,2.238,2.348,2.526,2.42,2.487,2.29,2.748,2.585,2.275,2.966,2.40287,1111976.0,1500852.794683
p157,2.347,2.727,1.788,2.741,2.772,2.547,2.773,2.068,2.131,2.487,1.982,2.581,2.801,2.604,2.487,2.78,2.587,2.683,1.561,2.181,2.423,2.62,2.344,2.568,2.503,2.835,2.352,2.805,2.618,2.614,3.008,2.52452,1084287.0,1467231.701637
p163,2.309,2.437,1.692,3.267,2.653,2.35,2.641,2.179,1.869,2.586,1.73,2.456,2.697,2.839,2.393,2.389,2.628,2.485,1.376,1.922,2.329,2.516,2.289,2.443,2.421,2.541,2.022,2.94,2.476,2.358,2.941,2.3613,1089273.0,1419151.666115
p174,2.2,2.421,1.745,3.112,2.474,2.249,2.443,2.163,2.105,2.407,1.875,2.352,2.701,2.705,2.457,2.346,2.593,2.377,1.452,1.897,2.189,2.337,2.169,2.576,2.224,2.467,2.086,2.578,2.244,1.961,2.863,2.29648,1151624.0,1623592.568947
p177,2.537,2.458,1.795,3.096,2.617,2.417,2.584,1.996,2.019,2.454,1.9,2.376,2.607,2.545,2.42,2.402,2.549,2.298,1.587,2.119,2.297,2.457,2.333,2.758,2.279,2.494,2.181,2.701,2.549,2.137,2.894,2.36354,1128471.0,1666830.295218
p186,2.805,2.442,1.726,3.224,2.573,2.567,2.774,2.383,2.02,2.554,2.002,2.518,2.88,2.703,2.285,2.72,2.864,2.524,1.444,2.002,2.558,2.471,2.464,2.804,2.362,2.82,2.284,2.829,2.65,2.314,3.162,2.48064,939005.0,1201391.215369
p199,2.464,2.699,1.888,2.608,2.648,2.524,2.971,2.284,2.14,2.606,2.058,2.656,2.85,2.569,2.419,2.548,2.705,2.599,1.311,2.126,2.377,2.562,2.335,2.779,2.436,2.722,2.223,2.883,2.702,2.861,3.164,2.49892,1141596.0,1481183.501899
p216,2.363,2.366,1.695,3.405,2.592,2.31,2.74,2.304,1.998,2.451,1.815,2.399,2.721,2.689,2.308,2.243,2.708,2.163,1.38,2.006,2.422,2.461,2.082,2.563,2.222,2.61,2.049,2.678,2.434,2.369,2.95,2.32511,1038209.0,1437571.519583
